Codi,Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. 65 anys o més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. 65 anys o més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. 65 anys o més,Total. Total,Homes. Total,Dones. Total,P Total. De 0 a 14 anys,P Total. De 15 a 64 anys,P Total. 65 anys o més,P Homes. De 0 a 14 anys,P Homes. De 15 a 64 anys,P Homes. 65 anys o més,P Dones. De 0 a 14 anys,P Dones. De 15 a 64 anys,P Dones. 65 anys o més
43020,Banyeres del Penedès,285,1108,266,278,1050,293,563,2158,559,3280,1659,1621,0.17164634146341465,0.6579268292682927,0.1704268292682927,0.1717902350813743,0.6678722121760097,0.16033755274261605,0.1714990746452807,0.6477483035163479,0.18075262183837137
17015,Banyoles,1821,6705,1514,1653,6464,2011,3474,13169,3525,20168,10040,10128,0.17225307417691393,0.6529650932169774,0.1747818326061087,0.18137450199203187,0.6678286852589641,0.15079681274900397,0.16321090047393366,0.6382306477093207,0.19855845181674567
25041,Barbens,59,362,97,60,246,119,119,608,216,943,518,425,0.1261930010604454,0.6447507953340403,0.22905620360551432,0.1138996138996139,0.6988416988416989,0.18725868725868725,0.1411764705882353,0.5788235294117647,0.28
43021,Barberà de la Conca,30,181,51,31,117,62,61,298,113,472,262,210,0.1292372881355932,0.6313559322033898,0.23940677966101695,0.11450381679389313,0.6908396946564885,0.1946564885496183,0.14761904761904762,0.5571428571428572,0.29523809523809524
8252,Barberà del Vallès,2737,10930,2570,2636,10885,3258,5373,21815,5828,33016,16237,16779,0.16273927792585413,0.6607402471528956,0.1765204749212503,0.16856562172815176,0.6731539077415779,0.15828047053027036,0.1571011383276715,0.6487275761368377,0.1941712855354908
8019,Barcelona,101227,538081,139436,95845,552841,209302,197072,1090922,348738,1636732,778744,857988,0.12040578420902139,0.6665245134817429,0.21306970230923572,0.12998751836290232,0.6909600587612874,0.17905242287581027,0.11170902157139727,0.6443458416667832,0.2439451367618195
25042,"Baronia de Rialb, la",6,75,37,11,65,35,17,140,72,229,118,111,0.07423580786026202,0.611353711790393,0.314410480349345,0.05084745762711865,0.635593220338983,0.3135593220338983,0.0990990990990991,0.5855855855855856,0.3153153153153153
17016,Bàscara,78,354,91,73,297,122,151,651,213,1015,523,492,0.14876847290640394,0.6413793103448275,0.20985221674876847,0.1491395793499044,0.6768642447418738,0.1739961759082218,0.1483739837398374,0.6036585365853658,0.24796747967479674
25044,Bassella,15,74,30,7,67,31,22,141,61,224,119,105,0.09821428571428571,0.6294642857142857,0.27232142857142855,0.12605042016806722,0.6218487394957983,0.25210084033613445,0.06666666666666667,0.638095238095238,0.29523809523809524
43022,Batea,137,546,254,127,511,304,264,1057,558,1879,937,942,0.14050026609898883,0.562533262373603,0.2969664715274082,0.14621131270010673,0.5827107790821772,0.2710779082177161,0.13481953290870488,0.5424628450106157,0.3227176220806794
25045,Bausen,0,20,14,2,19,11,2,39,25,66,34,32,0.030303030303030304,0.5909090909090909,0.3787878787878788,0.0,0.5882352941176471,0.4117647058823529,0.0625,0.59375,0.34375
8020,Begues,669,2538,478,642,2480,549,1311,5018,1027,7356,3685,3671,0.17822185970636215,0.6821642196846112,0.13961392060902664,0.18154681139755766,0.6887381275440977,0.12971506105834463,0.1748842277308635,0.6755652410787252,0.14955053119041134
17013,Begur,232,1359,429,235,1323,461,467,2682,890,4039,2020,2019,0.11562267888091111,0.6640257489477593,0.22035157217132953,0.11485148514851486,0.6727722772277228,0.21237623762376237,0.11639425458147598,0.6552748885586924,0.2283308568598316
25046,Belianes,25,147,85,24,159,81,49,306,166,521,257,264,0.09404990403071017,0.5873320537428023,0.31861804222648754,0.09727626459143969,0.5719844357976653,0.33073929961089493,0.09090909090909091,0.6022727272727273,0.3068181818181818
25170,Bellaguarda,13,103,38,9,80,49,22,183,87,292,154,138,0.07534246575342465,0.6267123287671232,0.2979452054794521,0.08441558441558442,0.6688311688311688,0.24675324675324675,0.06521739130434782,0.5797101449275363,0.35507246376811596
17018,Bellcaire d'Empordà,48,210,72,54,225,90,102,435,162,699,330,369,0.1459227467811159,0.6223175965665236,0.2317596566523605,0.14545454545454545,0.6363636363636364,0.21818181818181817,0.14634146341463414,0.6097560975609756,0.24390243902439024
25047,Bellcaire d'Urgell,75,408,146,70,347,179,145,755,325,1225,629,596,0.11836734693877551,0.6163265306122448,0.2653061224489796,0.1192368839427663,0.6486486486486487,0.23211446740858505,0.1174496644295302,0.5822147651006712,0.30033557046979864
25048,Bell-lloc d'Urgell,157,782,216,173,734,267,330,1516,483,2329,1155,1174,0.14169171318162302,0.6509231429798197,0.20738514383855733,0.13593073593073593,0.677056277056277,0.18701298701298702,0.14735945485519591,0.6252129471890971,0.227427597955707
