MUNICIPI_CODI,"('No vacunat', 1, 'Total')","('No vacunat', 2, 'Total')","('No vacunat', 3, 'Total')","('vacunat', 1, 'Total')","('vacunat', 2, 'Total')","('vacunat', 3, 'Total')",Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. 65 anys o més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. 65 anys o més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. 65 anys o més,Total. Total,Homes. Total,Dones. Total,P Total. De 0 a 14 anys,P Total. De 15 a 64 anys,P Total. 65 anys o més,P Homes. De 0 a 14 anys,P Homes. De 15 a 64 anys,P Homes. 65 anys o més,P Dones. De 0 a 14 anys,P Dones. De 15 a 64 anys,P Dones. 65 anys o més
17062,0.0483619344773791,0.008862414644776986,0.016607677647699427,0.9516380655226209,0.991137585355223,0.9833923223523006,"Escala, l'",706.0,3463.0,1155.0,668.0,3261.0,1244.0,1374.0,6724.0,2399.0,10497.0,5324.0,5173.0,0.13089454129751357,0.6405639706582833,0.2285414880442031,0.13260706235912847,0.650450788880541,0.21694214876033058,0.12913203170307366,0.6303885559636575,0.2404794123332689
17064,0.037463976945244955,0.006097560975609756,0.01,0.962536023054755,0.9939024390243902,0.99,Espolla,27.0,116.0,61.0,12.0,129.0,67.0,39.0,245.0,128.0,412.0,204.0,208.0,0.09466019417475728,0.5946601941747572,0.3106796116504854,0.1323529411764706,0.5686274509803921,0.29901960784313725,0.057692307692307696,0.6201923076923077,0.32211538461538464
17065,0.021844660194174758,0.007712082262210797,0.012195121951219513,0.9781553398058253,0.9922879177377892,0.9878048780487805,Esponellà,41.0,143.0,56.0,41.0,133.0,55.0,82.0,276.0,111.0,469.0,240.0,229.0,0.17484008528784648,0.5884861407249466,0.23667377398720682,0.17083333333333334,0.5958333333333333,0.23333333333333334,0.17903930131004367,0.5807860262008734,0.24017467248908297
17066,0.026177869755691134,0.00987336338270015,0.019184938036224976,0.9738221302443089,0.9901266366172998,0.980815061963775,Figueres,4207.0,15867.0,3146.0,3962.0,15539.0,4322.0,8169.0,31406.0,7468.0,47043.0,23220.0,23823.0,0.17364963969134622,0.6676019811661671,0.15874837914248666,0.18118001722652885,0.6833333333333333,0.1354866494401378,0.16630986861436428,0.6522688158502288,0.18142131553540697
17067,0.022396416573348264,0.0012690355329949238,0.0023752969121140144,0.9776035834266518,0.998730964467005,0.997624703087886,Flaçà,94.0,375.0,87.0,99.0,359.0,133.0,193.0,734.0,220.0,1147.0,556.0,591.0,0.16826503923278116,0.6399302528334786,0.1918047079337402,0.16906474820143885,0.6744604316546763,0.1564748201438849,0.16751269035532995,0.6074450084602369,0.22504230118443316
17068,0.0091324200913242,0.004739336492890996,0.007936507936507936,0.9908675799086758,0.995260663507109,0.9920634920634921,Foixà,11.0,94.0,44.0,15.0,83.0,52.0,26.0,177.0,96.0,299.0,149.0,150.0,0.08695652173913043,0.5919732441471572,0.3210702341137124,0.0738255033557047,0.6308724832214765,0.2953020134228188,0.1,0.5533333333333333,0.3466666666666667
17069,0.0055248618784530384,0.0,0.0,0.994475138121547,1.0,1.0,Fontanals de Cerdanya,31.0,168.0,59.0,38.0,156.0,54.0,69.0,324.0,113.0,506.0,258.0,248.0,0.13636363636363635,0.6403162055335968,0.22332015810276679,0.12015503875968993,0.6511627906976745,0.22868217054263565,0.1532258064516129,0.6290322580645161,0.21774193548387097
17071,0.01713796058269066,0.011090573012939002,0.01892744479495268,0.9828620394173093,0.988909426987061,0.9810725552050473,Fontcoberta,133.0,461.0,133.0,123.0,481.0,137.0,256.0,942.0,270.0,1468.0,727.0,741.0,0.17438692098092642,0.6416893732970027,0.18392370572207084,0.1829436038514443,0.6341127922971114,0.1829436038514443,0.1659919028340081,0.6491228070175439,0.18488529014844804
17073,0.019400352733686066,0.016198189614101955,0.02964254577157803,0.9805996472663139,0.9838018103858981,0.970357454228422,Fornells de la Selva,273.0,885.0,181.0,239.0,925.0,197.0,512.0,1810.0,378.0,2700.0,1339.0,1361.0,0.18962962962962962,0.6703703703703704,0.14,0.20388349514563106,0.6609410007468259,0.13517550410754295,0.17560617193240263,0.6796473181484203,0.14474650991917706
17074,0.015734265734265736,0.0038314176245210726,0.006711409395973154,0.9842657342657343,0.9961685823754789,0.9932885906040269,Fortià,54.0,266.0,76.0,56.0,256.0,85.0,110.0,522.0,161.0,793.0,396.0,397.0,0.13871374527112232,0.6582597730138714,0.2030264817150063,0.13636363636363635,0.6717171717171717,0.1919191919191919,0.14105793450881612,0.6448362720403022,0.2141057934508816
